platform,deals,raw_names_included
cian,32,Cian Брендирование; Cian ТГБ
novostroy-m,9,Novostroy-M.ru медийка
pronovostroiki,6,Pronovostroyki
adheads,6,AdHeads
move,5,move.ru
mskguru,5,mskguru
rbc,3,РБК Медийка
cre,3,cre
ozon,3,Ozon
yandex,3,Media yandex; Video yandex
gdeetotdom,2,ГдеЭтотДом Медийка
irn,2,Irn Тгб
novostroy-gid,2,Novostroy-Gid медийка
tbank,2,Tbank
mobidriven,2,Mobidriven
alfabank,1,alfabank
aviasales,1,aviasales
novostroy-city,1,novostroycity
thecottage,1,TheCottage
slickjump,1,Slickjump
turbotarget,1,Turbotarget
mts,1,MTS
onetarget,1,Onetarget
qbid,1,q.bid
dcreo,1,Dcreo
getintent,1,Getintent
