platform,deals,raw_names_included
yandex,72,Media yandex; Video yandex
cian,37,Cian Брендирование; Cian ТГБ
mts,22,MTS
adheads,18,AdHeads
novostroy-m,17,Novostroy-M.ru медийка
move,11,move.ru
ozon,11,Ozon
mskguru,9,mskguru
pronovostroiki,8,Pronovostroyki
onetarget,4,Onetarget
gdeetotdom,3,ГдеЭтотДом Медийка
irn,3,Irn Тгб
yandexmarket,3,market yandex
novostroy-gid,3,Novostroy-Gid медийка
cre,2,cre
rutube,2,Rutube
mobidriven,2,Mobidriven
netmonet,1,Netmonet
youtube,1,YouTube
reforum,1,Reforum медийка
avito,1,Avito Медийка
mirkvartir_регионы,1,Mirkvartir Регионы
wildberries,1,Wildberries
beeline,1,Beeline
byyd,1,BYYD
hyper,1,Hyper
qbid,1,q.bid
rutube_media_network,1,Rutube Media Network
alfabank,1,alfabank
slickjump,1,Slickjump
turbotarget,1,Turbotarget
