platform,deals,raw_names_included
yandex,83,Media yandex; Video yandex
cian,62,Cian Брендирование; Cian ТГБ
novostroy-m,33,Novostroy-M.ru медийка
mts,23,MTS
adheads,21,AdHeads
ozon,20,Ozon
novostroy-gid,8,Novostroy-Gid медийка
plazkart,8,Plazkart
yandexmarket,6,market yandex
move,6,move.ru
mobidriven,6,Mobidriven
mskguru,5,mskguru
pronovostroiki,5,Pronovostroyki
dv360,5,DV360
irn,4,Irn Тгб
byyd,3,BYYD
sbol,2,SBOL
yandex_небоскреб_регионы,2,Yandex Небоскреб Регионы
mosdom,2,mosdom
rbc,2,РБК Медийка
getintent,2,Getintent
roxot,2,Roxot
realty_tgb,2,Realty_tgb
rutube,1,Rutube
avito,1,Avito Медийка
mirkvartir_регионы,1,Mirkvartir Регионы
wildberries,1,Wildberries
beeline,1,Beeline
hyper,1,Hyper
qbid,1,q.bid
rutube_media_network,1,Rutube Media Network
yandex_rtb,1,Яндекс RTB
ivi,1,Ivi
alfabank,1,alfabank
arendator,1,Arendator
iclicks,1,iClicks
mirkvartir,1,MirKvartir Медийка
pass24,1,Pass24
realestate,1,Realestate
restate,1,Restate
russianrealty,1,Russianrealty
tbank,1,Tbank
womensnetwork,1,WomensNetwork
медийка,1,Медийка
медийка_2gis,1,Медийка 2GIS
between,1,Between
sberseller,1,Sberseller
cre,1,cre
avaho,1,Avaho
smarttv,1,SmartTV
youtube,1,YouTube
criteo,1,Criteo
mediatoday,1,Mediatoday
onetarget,1,Onetarget
