platform,cost,impressions,clicks,cpm,cpc,deals_bi,cpa,has_spend,has_deals,raw_spend_names,bounce_rate,avg_time_on_site_sec,metrika_visits
yandex,10619809.51,67371186,172989,157.63,61.39,3,3539936.5,True,True,Promopages.yandex.ru; Video yandex; Video yandex (Connected TV); media.yandex; media.yandex Прайм баннер; Дзен; Яндекс Погода,32.7,165.1,461519
mts,6204822.45,31638922,263336,196.11,23.56,1,6204822.45,True,True,Mts.ru OLV,30.54,97.6,330234
tbank,4528591.25,3892401,43565,1163.44,103.95,2,2264295.63,True,True,Т-Банк,50.92,102.0,8074
astralab,3001029.94,6538787,26463,458.96,113.4,0,,True,False,Astralab,30.55,99.4,31131
alfabank,2398983.58,2104550,6460,1139.9,371.36,1,2398983.58,True,True,Альфа-Мобайл,48.31,81.3,1627
ozon,2348362.49,7948185,5414,295.46,433.76,3,782787.5,True,True,Ozon,43.16,129.0,5894
yandex_go,2201333.95,7049616,6182,312.26,356.09,0,,True,False,Яндекс Go,45.98,110.0,12201
avito,2034887.09,5837206,9618,348.61,211.57,0,,True,False,Avito,0.0,15.5,2
yandexmarket,1478239.97,3828065,4142,386.16,356.89,0,,True,False,Market yandex,46.7,129.0,6657
adspector,1364223.18,7008281,69899,194.66,19.52,0,,True,False,Adspector OLV,20.74,100.9,86874
buzzoola,1232829.76,4021955,32176,306.53,38.32,0,,True,False,Buzzoola,30.0,95.0,35534
wildberries,718378.02,20095,20095,35749.09,35.75,0,,True,False,Wildberries,43.26,100.0,12852
digital_alliance,699857.88,1691931,21085,413.64,33.19,0,,True,False,DIGITAL ALLIANCE; DIGITAL ALLIANCE In-stream; DIGITAL ALLIANCE ONLINE CINEMA PACK,,,
pyaterochka,673749.25,1566576,2604,430.08,258.74,0,,True,False,Пятерочка,37.48,100.0,1086
adheads,612618.58,1806956,10841,339.03,56.51,6,102103.1,True,True,Adsheads,33.63,69.1,10119
rutube,579332.25,1500000,19500,386.22,29.71,0,,True,False,Rutube,64.91,72.0,13774
roxot,560992.21,1360899,14070,412.22,39.87,0,,True,False,Roxot,42.24,60.0,6549
cre,556158.96,24386,11,22806.49,50559.91,3,185386.32,True,True,CRE,18.18,246.0,11
soloway,401609.05,1845000,6375,217.67,63.0,0,,True,False,Soloway,51.58,86.0,4686
first_data,367830.23,809062,1618,454.64,227.34,0,,True,False,First Data,45.53,80.0,2809
vk_ads,367771.14,749880,75,490.44,4903.62,0,,True,False,VK Ads,33.33,559.0,3
vox,363337.27,1185343,4157,306.53,87.4,0,,True,False,VOX,30.37,132.0,3095
innovation_lab,270910.98,960667,6725,282.0,40.28,0,,True,False,Innovation Lab,,,
2gis,225635.57,254566,7694,886.35,29.33,0,,True,False,2gis,19.0,486.5,521
marketcall,183915.0,0,4,,45978.75,0,,True,False,Marketcall,,,
smi2,182995.42,2076726,4975,88.12,36.78,0,,True,False,СМИ2,44.03,70.0,3557
tiburon,49044.0,0,0,,,0,,True,False,Tiburon,,,
amberdata,42082.03,957505,1287,43.95,32.7,0,,True,False,Amberdata,,,
cian,0,0,0,,,32,,False,True,,39.36,131.0,9805
novostroy-m,0,0,0,,,9,,False,True,,33.52,124.0,7407
pronovostroiki,0,0,0,,,6,,False,True,,44.45,56.2,18
move,0,0,0,,,5,,False,True,,70.09,105.0,18788
mskguru,0,0,0,,,5,,False,True,,19.35,287.0,31
rbc,0,0,0,,,3,,False,True,,,,
irn,0,0,0,,,2,,False,True,,,,
gdeetotdom,0,0,0,,,2,,False,True,,,,
mobidriven,0,0,0,,,2,,False,True,,65.0,39.7,20
novostroy-gid,0,0,0,,,2,,False,True,,9.68,875.0,31
turbotarget,0,0,0,,,1,,False,True,,,,
getintent,0,0,0,,,1,,False,True,,,,
slickjump,0,0,0,,,1,,False,True,,,,
novostroy-city,0,0,0,,,1,,False,True,,,,
dcreo,0,0,0,,,1,,False,True,,,,
onetarget,0,0,0,,,1,,False,True,,0.0,8.0,1
thecottage,0,0,0,,,1,,False,True,,,,
qbid,0,0,0,,,1,,False,True,,22.22,53.6,27
aviasales,0,0,0,,,1,,False,True,,15.38,180.0,13
