platform,cost,impressions,clicks,cpm,cpc,deals_bi,cpa,has_spend,has_deals,raw_spend_names,bounce_rate,avg_time_on_site_sec,metrika_visits
yandex,7058526.34,41383831,178287,170.56,39.59,5,1411705.27,True,True,Promopages.yandex.ru; Video yandex; media.yandex,22.71,180.5,409838
mts,4147807.0,34531249,539274,120.12,7.69,2,2073903.5,True,True,Mts.ru OLV,50.03,64.0,460494
ozon,1607203.11,11095693,6329,144.85,253.94,3,535734.37,True,True,Ozon,49.41,119.0,4916
yandex_go,1390829.54,4761487,9552,292.1,145.61,0,,True,False,Яндекс Go,48.87,103.9,7406
vk_ads,1120274.0,13824269,54267,81.04,20.64,0,,True,False,VK Ads,20.0,46.0,5
yandexmarket,1094554.95,2741457,5014,399.26,218.3,2,547277.48,True,True,Market yandex,38.82,147.0,4547
rutube,905850.0,4500141,5449,201.29,166.24,0,,True,False,Rutube,44.7,107.0,4425
adspector,864258.45,8675902,53779,99.62,16.07,0,,True,False,Adspector OLV,28.51,70.8,37035
solta,763776.53,6967500,15837,109.62,48.23,0,,True,False,SOLTA,21.81,118.6,12114
q.bid_olv,567252.71,3126206,33754,181.45,16.81,0,,True,False,q.bid OLV,,,
qbid,493309.0,2718763,28278,181.45,17.44,0,,True,False,qbid,32.51,59.0,40016
segmento,397163.24,6909533,136,57.48,2920.32,0,,True,False,Segmento,53.33,79.0,75
дзен_статьи,369065.33,2836538,49919,130.11,7.39,0,,True,False,Дзен Статьи,,,
vk_video,359939.48,1147080,6931,313.79,51.93,0,,True,False,VK Video,,,
мтс,343821.94,9638020,20208,35.67,17.01,0,,True,False,МТС,,,
pass24,336110.0,457833,1663,734.13,202.11,0,,True,False,Pass24,44.19,150.0,86
"targetads_(прямой,_без_ндс)",291739.43,0,0,,,0,,True,False,"TargetAds (прямой, без НДС)",,,
roxot,279458.83,6149843,15984,45.44,17.48,0,,True,False,Roxot,27.29,84.0,13259
"targetads_(прямой,_без_ндс)_-_видео-код",191846.52,0,0,,,0,,True,False,"TargetAds (прямой, без НДС) - Видео-код",,,
дзен_сообщество,143453.7,1406509,5045,101.99,28.43,0,,True,False,Дзен Сообщество,,,
vk_ads_сообщество,138755.31,1626179,3054,85.33,45.43,0,,True,False,VK Ads Сообщество,,,
фонтанка,35072.52,218893,123,160.23,285.14,0,,True,False,Фонтанка,,,
"targetads_(прямой,_без_ндс)_-_js-трекинг",23574.72,0,0,,,0,,True,False,"TargetAds (прямой, без НДС) - JS-трекинг",,,
cian,0,0,0,,,11,,False,True,,24.83,239.0,149
adheads,0,0,0,,,8,,False,True,,40.91,275.7,22
novostroy-m,0,0,0,,,6,,False,True,,26.32,144.0,12299
mskguru,0,0,0,,,6,,False,True,,13.71,213.0,970
move,0,0,0,,,5,,False,True,,23.61,378.1,72
pronovostroiki,0,0,0,,,4,,False,True,,16.8,106.0,17172
novostroy-gid,0,0,0,,,3,,False,True,,17.45,126.0,2149
onetarget,0,0,0,,,2,,False,True,,0.0,47.0,1
яндекс_кинопоиск,0,0,0,,,1,,False,True,,,,
cre,0,0,0,,,1,,False,True,,,,
mobidriven,0,0,0,,,1,,False,True,,100.0,3.0,1
