platform,visits,bounce_rate,avg_time_on_site_sec,page_depth,raw_utm_sources
yandex,461519,32.7,165.1,1.47,commerce:promopages; commerce:yandex; commerce:yandex.promopages; commerce:yandex_maps; commerce:yandex_mapss; zhk:dzen; zhk:promopages; zhk:yandex; zhk:yandex-pogoda; zhk:yandex.promopages; zhk:yandex_apartments; zhk:yandex_appartments; zhk:yandex_maps; zhk:yandexsmartcamera
mts,330234,30.54,97.6,1.3,commerce:mts; zhk:mts
unmapped,250979,26.61,279.2,2.91,commerce:Не определено; zhk:Не определено
adspector,86874,20.74,100.9,1.36,commerce:adspector; zhk:adspector
buzzoola,35534,30.0,95.0,2.02,zhk:buzzoola
astralab,31131,30.55,99.4,1.29,commerce:astralab; zhk:astralab
rpl-sportbox,19680,79.74,27.0,1.03,zhk:rpl-sportbox
move,18788,70.09,105.0,1.02,zhk:move
t-invest,17304,54.82,45.0,1.07,commerce:t-invest
da,14531,47.23,67.0,1.18,zhk:da
rutube,13774,64.91,72.0,1.05,zhk:rutube
wildberries,12852,43.26,100.0,1.29,zhk:wildberries
yandex_go,12201,45.98,110.0,1.16,zhk:yandex_go; zhk:yandexgo
adheads,10119,33.63,69.1,1.42,commerce:adheads; zhk:adheads
cian,9805,39.36,131.0,1.73,zhk:cian
avito-ads,9068,34.27,86.0,1.33,zhk:avito-ads
newsletter,8490,13.41,342.8,2.88,commerce:newsletter; zhk:newsletter
realty,8272,34.9,130.0,1.11,zhk:realty
inlab,8269,26.36,55.0,1.3,zhk:inlab
tbank,8074,50.92,102.0,1.31,zhk:tbank
novostroy-m,7407,33.52,124.0,1.31,zhk:novostroy_m
yandexmarket,6657,46.7,129.0,1.65,commerce:yandexmarket; zhk:yandexmarket
roxot,6549,42.24,60.0,1.48,zhk:roxot
streamingads,6287,56.13,73.0,1.03,zhk:streamingads
ozon,5894,43.16,129.0,1.42,zhk:ozon
rpl-matchtv,5165,70.71,43.0,1.02,zhk:rpl-matchtv
soloway,4686,51.58,86.0,1.41,commerce:soloway
test,3696,89.29,18.3,1.04,commerce:test; zhk:test
smi2,3557,44.03,70.0,1.15,commerce:smi2
sms_newsletter,3171,13.78,260.0,2.78,zhk:sms_newsletter
vox,3095,30.37,132.0,1.19,commerce:voxexchange
first_data,2809,45.53,80.0,1.11,commerce:first-data
ya,2785,24.67,269.3,2.77,commerce:ya; zhk:ya
trigger,2611,20.11,269.0,2.53,zhk:trigger
roomfi,2523,3.41,119.0,1.59,commerce:roomfi
arendator,2283,33.82,50.0,1.27,commerce:arendator
alfabank,1627,48.31,81.3,1.12,commerce:alfabank; zhk:alfabank
novostroy_spb,1159,8.63,236.0,1.22,zhk:novostroy_spb
telegram,1099,18.56,221.2,2.58,commerce:telegram; zhk:telegram
pyaterochka,1086,37.48,100.0,1.59,zhk:pyaterochka
2gis,521,19.0,486.5,3.94,commerce:2gis_maps; zhk:2gis_maps
googlemybusiness,412,16.99,379.0,4.04,zhk:googlemybusiness
chatgpt.com,398,12.32,384.8,3.17,commerce:chatgpt.com; zhk:chatgpt.com
ya_apartments,282,2.48,444.0,3.93,zhk:ya_apartments
corp,224,4.91,460.0,5.56,zhk:corp
pikabu,168,99.4,0.5,1.01,zhk:pikabu
max,136,11.03,482.0,5.28,zhk:max
ya_maps,133,10.53,386.6,4.08,commerce:ya_maps; zhk:ya_maps
polygraphy,129,19.38,467.6,2.95,commerce:polygraphy; zhk:polygraphy
plazkart,84,22.62,144.0,1.02,zhk:plazkart
