platform,visits,bounce_rate,avg_time_on_site_sec,page_depth,counters
yandex,457155,31.49,158.9,1.45,commerce;zhk
mts,291306,31.45,95.1,1.57,commerce;zhk
unmapped,214261,23.54,305.4,3.1,commerce;zhk
adspector,34594,26.31,77.0,1.37,commerce;zhk
buzzoola,33372,29.3,99.0,2.42,zhk
rutube,23848,64.9,71.0,1.05,zhk
roxot,20651,35.13,79.0,1.55,zhk
astralab,18735,30.53,92.0,1.72,commerce;zhk
inlab,14029,33.84,79.0,1.38,zhk
yandex_go,12734,44.37,119.0,1.17,zhk
qbid,12383,28.46,69.1,1.23,commerce;zhk
newsletter,10590,15.73,292.9,2.63,commerce;zhk
streamingads,10221,42.71,97.0,1.27,zhk
avito-ads,9937,36.07,75.0,1.27,zhk
adheads,9386,29.85,125.8,1.83,commerce;zhk
ozon,8994,42.25,133.0,1.47,zhk
yandexmarket,8208,42.83,141.0,1.64,commerce;zhk
cian,6102,38.51,151.9,1.79,zhk
wildberries,6007,45.25,95.0,1.25,zhk
move,5938,50.74,317.9,1.06,commerce;zhk
tbank,5515,53.71,70.0,1.19,zhk
novostroy-m,5476,24.36,161.0,1.54,zhk
mobidriven,4098,49.98,81.0,1.03,commerce;zhk
ya,2796,20.88,308.1,3.03,commerce;zhk
vox,2645,32.55,143.0,1.12,commerce
roomfi,2577,6.71,109.0,1.5,commerce
sms_newsletter,2398,16.02,226.3,2.56,commerce;zhk
trigger,2336,16.18,272.0,2.46,zhk
arendator,2309,13.9,110.0,1.37,commerce
telegram,1794,16.5,231.1,2.42,commerce;zhk
realty,1652,43.16,82.0,1.06,zhk
test,1543,84.58,21.5,1.03,commerce;zhk
pyaterochka,1334,37.18,115.0,1.49,zhk
novostroy_spb,1102,8.53,181.0,1.3,zhk
novostroy-gid,1031,32.59,122.0,1.55,zhk
pronovostroiki,621,14.17,157.2,2.11,zhk
yd,525,99.62,2.0,1.0,zhk
2gis,478,17.99,593.7,4.28,commerce;zhk
mskguru,476,14.08,219.0,2.47,zhk
googlemybusiness,454,18.06,441.0,4.2,zhk
aviasales,342,51.75,154.0,1.41,zhk
plazkart,320,38.75,104.0,1.01,zhk
corp,286,9.44,378.0,5.29,zhk
ya_apartments,274,2.92,483.0,4.45,zhk
spbguru,257,18.68,204.0,1.96,zhk
polygraphy,255,18.04,424.8,2.9,commerce;zhk
chatgpt.com,204,13.24,396.1,3.09,commerce;zhk
pr_telegram,169,13.02,247.0,2.12,zhk
ya_maps,150,8.66,388.9,3.87,commerce;zhk
pikabu,139,100.0,0.0,1.0,zhk
tg,116,30.17,152.0,1.85,zhk
max,112,9.82,523.0,4.33,zhk
stroiki,86,2.33,194.0,1.37,zhk
sms_trigger,82,31.71,212.0,2.13,zhk
stroyka,80,15.0,673.0,2.33,zhk
poligraphy,47,12.77,307.0,2.4,zhk
vk,42,21.43,185.0,2.62,zhk
vkontakte,38,7.89,466.0,6.5,zhk
byyd,35,31.43,73.0,1.0,zhk
redlama,34,11.76,634.0,1.0,zhk
instagram_*,30,10.0,139.0,1.93,zhk
google,28,25.0,54.0,1.32,zhk
cbyltebcul,27,0.0,26.0,1.0,zhk
cian_kartochka_zhk,26,7.69,261.0,2.62,zhk
solta,24,20.83,162.5,1.42,commerce;zhk
ig,23,8.7,263.0,4.17,zhk
smi2,22,9.09,141.0,1.05,commerce
parking,18,16.67,176.0,2.28,zhk
vkvideo,17,29.41,128.0,1.18,zhk
alfabank,16,31.25,141.0,1.88,zhk
youtube,16,56.25,61.0,1.25,zhk
ai_chat,15,20.0,726.0,3.27,zhk
vyborshik-site,15,13.33,415.0,1.53,zhk
yandex_rtb,15,40.0,43.0,1.07,zhk
welcome,13,53.85,292.0,1.08,zhk
perplexity,12,8.33,305.7,4.17,commerce;zhk
digitaltv_hybrid,11,63.64,15.0,1.0,zhk
netmonet,11,27.27,277.5,3.54,commerce;zhk
soloway,11,27.27,188.0,1.0,commerce
planbook,10,10.0,605.0,7.7,zhk
zabor,10,30.0,339.0,2.5,zhk
rpl-matchtv,9,77.78,11.0,1.11,zhk
uznai.mos.ru,9,11.11,438.0,6.33,zhk
domclick,7,0.0,31.0,4.29,zhk
da,6,16.67,191.0,1.17,zhk
lbaefk,6,0.0,19.0,1.17,zhk
novostroy_gid,6,16.67,90.0,1.5,zhk
unisound,6,0.0,53.0,1.17,zhk
avito,6,33.33,148.0,2.0,zhk
geoadv_maps,5,0.0,865.0,4.6,zhk
rmn,5,60.0,44.0,1.0,zhk
yandex.zen,5,20.0,565.0,1.2,zhk
inst,4,25.0,514.0,2.25,zhk
rpl-sportbox,4,50.0,98.0,2.75,zhk
vk_ads,4,50.0,11.0,1.0,zhk
cxhub_newsletter,3,33.33,41.0,1.33,zhk
domyland,3,33.33,335.0,5.0,zhk
m2data,3,33.33,108.0,1.0,zhk
polypraphy,3,33.33,2046.0,12.0,zhk
smmhero.ru,3,0.0,48.0,1.0,zhk
yandex_realty,3,100.0,0.0,1.0,zhk
hyper,3,66.67,66.0,1.0,commerce
793,2,50.0,33.0,1.0,zhk
adqcfyf,2,100.0,2.0,1.0,zhk
akademicheskaya,2,0.0,1410.0,3.5,zhk
getintent,2,0.0,191.0,1.0,zhk
marketdelivery,2,50.0,91.0,1.5,zhk
mskguru.ru,2,50.0,437.0,2.0,zhk
otclick,2,100.0,0.0,1.0,zhk
realtraffic,2,100.0,0.0,1.0,zhk
