platform,visits,bounce_rate,avg_time_on_site_sec,page_depth,counters
yandex,484441,27.19,169.8,1.45,commerce;zhk
unmapped,204251,21.75,307.5,3.1,commerce;zhk
adspector,173001,28.02,79.3,1.45,commerce;zhk
mts,145773,26.89,123.8,1.49,commerce;zhk
buzzoola,57486,24.79,73.0,1.85,zhk
qbid,35753,28.29,80.6,1.32,commerce;zhk
rutube,25049,61.9,82.0,1.1,zhk
solta,14298,24.75,98.0,2.15,commerce;zhk
avito-ads,13218,38.44,74.0,1.24,zhk
pronovostroiki,12750,17.87,97.2,1.25,zhk
plazkart,12403,52.79,98.0,1.1,zhk
novostroy-m,12276,25.99,141.0,1.43,zhk
roxot,12192,22.11,120.0,1.66,commerce;zhk
newsletter,12068,12.34,310.7,2.63,commerce;zhk
yandex_go,10525,49.18,105.0,1.15,zhk
move,9549,71.95,191.8,1.03,commerce;zhk
yandexmarket,8910,43.55,125.0,1.6,zhk
ozon,8537,48.86,104.0,1.38,zhk
streamingads,8525,47.12,96.0,1.06,zhk
adheads,6934,38.48,118.1,1.73,commerce;zhk
tbank,6658,48.2,121.0,1.4,zhk
793,6593,22.08,107.0,2.53,zhk
astralab,6533,26.94,106.0,1.83,zhk
telegram,6044,15.52,141.4,1.86,commerce;zhk
stroiki,5643,2.0,156.0,1.38,zhk
realty,5117,23.69,110.0,1.39,zhk
ya,3121,17.75,297.8,3.0,commerce;zhk
cian,2512,35.95,156.0,1.92,zhk
novostroy-gid,2303,16.72,142.0,1.84,zhk
arendator,2274,10.95,118.0,1.4,commerce
sms_newsletter,2088,19.25,219.0,2.15,zhk
trigger,2062,15.32,256.0,2.48,zhk
roomfi,2032,13.44,97.0,1.39,commerce
test,707,99.86,1.0,1.0,zhk
mskguru,691,15.2,209.0,2.47,zhk
2gis,466,13.31,437.7,4.01,commerce;zhk
aviasales,429,34.73,294.0,3.26,zhk
pass24,376,56.12,76.0,1.08,zhk
netmonet,341,29.91,212.4,1.8,commerce;zhk
googlemybusiness,324,16.05,282.0,3.81,zhk
794,297,7.74,58.0,1.18,commerce
novostroy_spb,291,17.18,203.0,1.96,zhk
polygraphy,265,20.38,447.9,2.88,commerce;zhk
avito,230,36.09,72.7,1.06,commerce;zhk
ya_apartments,205,3.9,385.0,3.72,zhk
chatgpt.com,203,16.75,276.3,2.56,commerce;zhk
corp,197,8.63,352.0,4.9,zhk
ya_maps,133,9.02,422.6,4.18,commerce;zhk
spbguru,87,20.69,222.0,1.83,zhk
pr_telegram,84,14.29,243.2,2.8,commerce;zhk
vkads,83,21.69,169.0,2.12,zhk
vkvideo,77,42.86,167.0,1.18,zhk
sms_trigger,58,34.48,191.0,2.24,zhk
alfabank,55,50.91,132.0,1.98,zhk
inst,40,15.0,179.0,2.08,zhk
max,37,24.32,150.0,2.32,zhk
redlama,37,18.92,259.3,1.0,commerce;zhk
ig,34,8.82,236.0,3.56,zhk
stroyka,34,8.82,438.0,2.24,zhk
poligraphy,33,21.21,322.0,2.64,zhk
vyborshik-site,33,9.09,433.0,2.36,zhk
parking,32,43.75,185.0,1.84,zhk
vk,30,23.33,187.0,1.3,zhk
byyd,28,42.86,78.0,1.07,zhk
welcome,27,14.81,198.0,1.85,zhk
yandex_rtb,26,46.15,30.0,1.0,zhk
youtube,23,60.87,145.0,1.7,zhk
da,20,25.0,147.0,1.05,zhk
smm,20,0.0,474.0,1.7,zhk
cian_kartochka_zhk,19,5.26,431.0,3.84,zhk
zabor,18,5.56,320.0,2.89,zhk
cxhub_newsletter,16,18.75,79.0,1.81,zhk
google,14,42.86,30.0,1.64,zhk
pikabu,14,100.0,0.5,1.0,zhk
hyper,14,42.85,25.6,1.0,commerce;zhk
vkontakte,12,16.67,117.0,2.33,zhk
office,8,37.5,317.0,2.5,zhk
planbook,8,0.0,303.0,3.13,zhk
fontanka,6,0.0,1356.0,7.0,zhk
segmento,6,50.0,38.0,1.0,zhk
perplexity,6,0.0,380.2,3.5,commerce;zhk
banner,5,20.0,317.0,3.0,zhk
followish,5,40.0,20.0,1.2,zhk
samokat,5,60.0,28.0,1.2,zhk
unisound,5,20.0,20.0,1.0,zhk
m2data,4,50.0,1160.0,2.75,zhk
sberseller,4,25.0,33.0,1.5,zhk
vk_ads,4,0.0,31.0,1.0,zhk
yandex_eda,4,75.0,4.0,1.0,zhk
business_center_location,3,0.0,2124.0,12.0,zhk
ivi,3,33.33,392.0,1.67,zhk
metro,3,33.33,18.0,1.0,zhk
mindbox,3,33.33,36.0,2.0,zhk
ohmywishes,3,0.0,64.0,1.0,zhk
onetarget,3,0.0,68.0,1.0,zhk
762,2,50.0,14.0,1.5,zhk
clinics,2,50.0,294.0,1.0,zhk
domyland,2,0.0,388.0,2.0,zhk
getintent,2,0.0,256.0,1.0,zhk
i,2,0.0,16.0,1.0,zhk
instagram_*,2,50.0,7.0,1.0,zhk
mskguru.ru,2,0.0,332.0,4.5,zhk
novostroy_gid,2,50.0,31.0,1.0,zhk
rmn,2,50.0,775.0,1.0,zhk
rpl-sportbox,2,50.0,38.0,1.0,zhk
rutube_app,2,50.0,736.0,1.0,zhk
rutube_web,2,100.0,0.0,1.0,zhk
t,2,50.0,12.0,1.0,zhk
tg,2,0.0,15.0,1.0,zhk
wink,2,100.0,1.0,1.0,zhk
y,2,0.0,15.0,1.0,zhk
1006,1,0.0,181.0,1.0,zhk
390229622,1,100.0,0.0,1.0,zhk
469513097,1,100.0,5.0,1.0,zhk
830506892,1,100.0,1.0,1.0,zhk
923003523,1,100.0,0.0,1.0,zhk
avaho.ru,1,100.0,0.0,1.0,zhk
copilot.com,1,100.0,0.0,1.0,zhk
embed,1,0.0,242.0,1.0,zhk
gpmh,1,100.0,3.0,1.0,zhk
khl,1,100.0,7.0,1.0,zhk
kuper,1,0.0,16.0,1.0,zhk
mkb_app,1,100.0,0.0,1.0,zhk
novostroy_ru,1,0.0,172.0,8.0,zhk
pr_media,1,0.0,1018.0,3.0,zhk
protrener,1,0.0,1179.0,7.0,zhk
rbk,1,0.0,130.0,2.0,zhk
redllama,1,0.0,34.0,1.0,zhk
smmhero.ru,1,0.0,56.0,1.0,zhk
sms,1,0.0,550.0,4.0,zhk
sticker_bus,1,100.0,7.0,1.0,zhk
wildberries,1,0.0,17.0,1.0,zhk
mobidriven,1,0.0,20.0,1.0,commerce
yandex_dostavka,1,0.0,151.0,6.0,commerce
