platform,visits,bounce_rate,avg_time_on_site_sec,page_depth,counters
mts,460494,50.03,64.0,1.42,commerce;zhk
yandex,409838,22.71,180.5,1.49,commerce;zhk
unmapped,254387,40.26,239.6,2.68,commerce;zhk
qbid,40016,32.51,59.0,1.45,commerce;zhk
adspector,37035,28.51,70.8,1.54,commerce;zhk
pronovostroiki,17172,16.8,106.0,1.3,zhk
roxot,13259,27.29,84.0,1.55,zhk
novostroy-m,12299,26.32,144.0,1.46,zhk
solta,12114,21.81,118.6,2.23,commerce;zhk
newsletter,9959,15.11,291.4,2.79,commerce;zhk
yandex_go,7406,48.87,103.9,1.13,zhk
realty,5948,20.38,127.0,1.43,zhk
ozon,4916,49.41,119.0,1.39,zhk
yandexmarket,4547,38.82,147.0,1.78,zhk
rutube,4425,44.7,107.0,1.31,zhk
vkvideo,4042,66.8,77.0,1.13,zhk
sms_newsletter,3864,14.08,268.0,3.06,zhk
telegram,3192,11.84,252.9,3.0,commerce;zhk
ya,3033,15.69,297.9,3.0,commerce;zhk
trigger,2790,17.1,254.0,2.56,zhk
streamingads,2612,57.35,74.0,1.09,zhk
arendator,2377,13.71,117.0,1.41,commerce
novostroy-gid,2149,17.45,126.0,1.62,zhk
roomfi,2055,4.18,125.0,1.41,commerce
mskguru,970,13.71,213.0,2.44,zhk
pr_telegram,934,18.85,148.2,1.89,commerce;zhk
googlemybusiness,474,14.98,415.0,4.0,zhk
test,336,99.7,4.7,1.0,commerce;zhk
plazkart,255,19.21,110.7,1.02,commerce;zhk
2gis,236,9.32,437.8,4.03,commerce;zhk
netmonet,233,26.18,158.2,1.58,commerce;zhk
ya_maps,213,16.9,378.4,3.14,commerce;zhk
corp,205,5.37,364.0,4.79,zhk
chatgpt.com,202,17.82,384.4,2.6,commerce;zhk
ya_apartments,175,2.86,444.0,4.75,zhk
stroiki,161,0.62,121.0,1.16,zhk
cian,149,24.83,239.0,2.32,zhk
smm,115,18.26,146.0,1.94,zhk
polygraphy,112,11.61,1129.9,6.25,commerce;zhk
alfabank,110,26.36,188.0,2.35,zhk
da,107,41.12,86.0,1.02,zhk
762,90,56.67,71.0,1.11,zhk
pass24,86,44.19,150.0,1.15,zhk
fontanka,81,29.63,115.0,1.54,zhk
avito,77,45.46,190.5,1.6,commerce;zhk
segmento,75,53.33,79.0,1.09,zhk
move,72,23.61,378.1,1.12,commerce;zhk
sms_trigger,65,30.77,169.0,1.71,zhk
google,61,37.7,71.0,1.28,zhk
redlama,50,14.0,201.9,1.0,commerce;zhk
stroyka,45,17.78,346.0,2.22,zhk
poligraphy,44,22.73,264.0,2.64,zhk
ig,42,14.29,214.0,3.64,zhk
byyd,39,28.21,112.0,1.03,zhk
marketdelivery,39,46.15,86.0,1.28,zhk
vyborshik-site,38,34.21,304.0,1.71,zhk
youtube,36,47.22,84.0,1.14,zhk
samokat,35,51.43,144.0,1.26,zhk
vkads,34,8.82,193.0,2.32,zhk
yandex_rtb,32,40.63,122.0,1.13,zhk
parking,29,37.93,339.0,2.59,zhk
welcome,29,24.14,226.0,2.21,zhk
vk,28,14.29,319.0,3.79,zhk
adheads,22,40.91,275.7,1.22,commerce;zhk
max,21,23.81,387.0,4.05,zhk
pikabu,21,100.0,0.5,1.0,zhk
pr_media,18,38.89,298.0,2.33,zhk
tbank,16,50.0,270.0,3.5,zhk
zabor,14,0.0,548.0,2.07,zhk
metro,13,15.38,582.0,2.85,zhk
perplexity,13,7.69,301.0,2.69,zhk
cxhub_newsletter,11,36.36,67.0,1.64,zhk
yandex_eda,11,27.27,277.0,1.64,zhk
zalo,11,9.09,627.0,2.36,zhk
office,9,22.22,191.0,1.44,zhk
rmn,7,14.29,285.0,1.0,zhk
rosdocs.ru,7,14.29,32.0,1.0,zhk
sberseller,7,57.14,44.0,1.0,zhk
ohmywishes,6,33.33,38.0,1.33,zhk
yandex.zen,6,83.33,2.0,1.0,zhk
aviasales,5,80.0,40.0,1.0,zhk
vk_ads,5,20.0,46.0,1.0,zhk
hyper,5,60.0,29.6,1.0,commerce;zhk
adqcfyf,4,75.0,5.0,1.0,zhk
kuper,4,0.0,260.0,1.25,zhk
vkontakte,4,25.0,139.0,5.0,zhk
domyland,3,0.0,119.0,3.0,zhk
followish,3,0.0,45.0,1.33,zhk
inst,3,0.0,22.0,1.0,zhk
mindbox,3,0.0,37.0,2.0,zhk
novostroy_ru,3,0.0,312.0,5.33,zhk
tg,3,66.67,8.0,1.0,zhk
unisound,3,66.67,7.0,1.0,zhk
yandexeda,3,66.67,66.0,1.0,zhk
exnode,2,100.0,0.0,1.0,zhk
gdeetotdom,2,100.0,0.0,1.0,zhk
geoadv_maps,2,50.0,479.0,3.5,zhk
getintent,2,0.0,183.0,1.0,zhk
i,2,50.0,21.0,1.0,zhk
ivi,2,50.0,16.0,1.0,zhk
m2data,2,50.0,224.0,1.5,zhk
mskguru.ru,2,0.0,57.0,4.5,zhk
offline-sklad,2,50.0,32.0,1.0,zhk
protrener,2,100.0,6.0,1.0,zhk
simplewine_subscribers_promo,2,50.0,31.0,1.0,zhk
sms,2,50.0,43.0,3.0,zhk
t,2,0.0,27.0,1.0,zhk
test9,2,0.0,761.0,6.0,zhk
uznai.mos.ru,2,0.0,522.0,9.0,zhk
vox,2,50.0,9.0,1.0,zhk
y,2,0.0,27.0,1.0,zhk
ratingfirmporemontu.ru,1,0.0,114.0,7.0,zhk
akademicheskaya,1,0.0,432.0,5.0,zhk
astralab,1,0.0,18.0,1.0,zhk
beeline,1,100.0,0.0,1.0,zhk
buzzoola,1,0.0,1560.0,1.0,zhk
calltouch,1,100.0,0.0,1.0,zhk
cbyltebcul,1,100.0,0.0,1.0,zhk
geniusdesk,1,100.0,2.0,1.0,zhk
hybrid,1,100.0,0.0,1.0,zhk
instagram_*,1,0.0,36.0,1.0,zhk
ls_criteo,1,0.0,17.0,1.0,zhk
mobidriven,1,100.0,3.0,1.0,zhk
onetarget,1,0.0,47.0,3.0,zhk
pantry,1,0.0,1493.0,3.0,zhk
planbook,1,0.0,250.0,3.0,zhk
pr_article,1,100.0,0.0,1.0,zhk
redllama,1,100.0,0.0,1.0,zhk
sovcombank,1,0.0,629.0,1.0,zhk
wildberries,1,100.0,0.0,1.0,zhk
yastreb,1,0.0,17.0,1.0,zhk
