mts	121457	29.32	91.0	1.86
yandex	38007	31.82	126.3	1.10
unmapped	18485	19.07	204.0	2.23
adheads	4257	31.50	111.0	1.80
mobidriven	4095	49.99	81.0	1.03
vox	2645	32.55	143.0	1.12
roomfi	2577	6.71	109.0	1.50
arendator	2309	13.90	110.0	1.37
test	466	48.93	69.0	1.09
telegram	442	19.68	112.0	1.55
2gis	185	24.32	842.0	3.68
ya	97	29.90	310.0	1.70
adspector	50	50.00	86.0	1.30
newsletter	25	8.00	240.0	2.60
smi2	22	9.09	141.0	1.05
sms_newsletter	21	19.05	259.0	1.76
chatgpt.com	16	6.25	714.0	2.81
qbid	14	21.43	124.0	1.36
soloway	11	27.27	188.0	1.00
solta	11	27.27	72.0	1.64
hyper	3	66.67	66.0	1.00
astralab	2	100.00	12.0	1.00
netmonet	2	50.00	878.0	1.00
...	1	0.00	495.0	3.00
cre	1	0.00	339.0	1.00
move	1	100.00	0.0	1.00
perplexity	1	0.00	511.0	7.00
polygraphy	1	0.00	113.0	1.00
ya_maps	1	0.00	519.0	2.00
yandex_dostavka	1	0.00	15.0	1.00
yandexmarket	1	0.00	15.0	1.00
