adspector	42421	29.20	68.0	1.54
yandex	30671	34.23	118.8	1.06
unmapped	20244	17.73	185.0	2.12
qbid	17677	28.77	75.0	1.33
solta	4716	26.53	100.0	1.73
mts	4455	38.34	85.0	1.78
arendator	2274	10.95	118.0	1.40
roomfi	2032	13.44	97.0	1.39
move	455	89.89	7.0	1.14
794	297	7.74	58.0	1.18
telegram	133	12.78	117.0	1.53
ya	116	21.55	216.0	1.65
2gis	94	17.02	745.0	3.67
netmonet	44	34.09	141.0	1.16
newsletter	41	9.76	210.0	1.56
hyper	8	62.50	26.0	1.00
polygraphy	5	60.00	79.0	1.00
chatgpt.com	4	0.00	143.0	3.00
redlama	3	0.00	13.0	1.00
adheads	2	0.00	301.0	1.00
roxot	2	50.00	7.0	1.00
ya_maps	2	0.00	792.0	2.50
avito	1	100.00	1.0	1.00
mobidriven	1	0.00	20.0	1.00
perplexity	1	0.00	266.0	5.00
pr_telegram	1	0.00	15.0	1.00
yandex_dostavka	1	0.00	151.0	6.00
