mts	59336	28.54	98.0	2.17
qbid	22352	35.31	55.0	1.40
unmapped	17852	33.26	182.0	2.08
yandex	17445	28.98	122.7	1.12
adspector	9301	25.85	85.0	1.11
solta	6143	22.35	126.0	2.03
arendator	2377	13.71	117.0	1.41
roomfi	2055	4.18	125.0	1.41
newsletter	448	25.89	216.0	2.33
telegram	174	13.22	181.0	1.82
ya	138	30.43	317.0	2.00
netmonet	24	41.67	64.0	1.13
move	22	13.64	326.0	1.36
avito	21	61.90	29.0	1.00
2gis	13	7.69	159.8	1.54
redlama	6	16.67	399.0	1.00
adheads	5	60.00	61.0	1.00
polygraphy	5	0.00	615.0	1.60
chatgpt.com	4	0.00	304.0	1.00
hyper	4	50.00	37.0	1.00
pr_telegram	4	25.00	417.0	3.25
ya_maps	4	0.00	504.0	2.00
plazkart	1	0.00	29.0	1.00
test	1	0.00	1236.0	2.00
