Итого и средние	206 247	100,00 %	191 013	100,00 %	31,46 %	1,49	1 м 38 c
mts	83 572	40,52 %	82 561	43,22 %	31,70 %	1,55	1 м 13 c
Не определено	30 004	14,55 %	27 086	14,18 %	23,79 %	2,06	2 м 28 c
adspector	22 363	10,84 %	22 288	11,67 %	22,23 %	1,40	1 м 26 c
yandex	20 508	9,94 %	17 447	9,13 %	24,75 %	1,11	3 м 14 c
t-invest	17 304	8,39 %	14 360	7,52 %	54,82 %	1,07	45 c
astralab	7 185	3,48 %	7 111	3,72 %	30,35 %	1,37	1 м 34 c
soloway	4 686	2,27 %	3 614	1,89 %	51,58 %	1,41	1 м 26 c
smi2	3 557	1,72 %	3 206	1,68 %	44,03 %	1,15	1 м 10 c
voxexchange	3 095	1,50 %	2 201	1,15 %	30,37 %	1,19	2 м 12 c
first-data	2 809	1,36 %	2 479	1,30 %	45,53 %	1,11	1 м 20 c
adheads	2 734	1,33 %	2 685	1,41 %	36,94 %	1,31	53 c
roomfi	2 523	1,22 %	2 510	1,31 %	3,41 %	1,59	1 м 59 c
arendator	2 283	1,11 %	2 240	1,17 %	33,82 %	1,27	50 c
alfabank	1 620	0,79 %	1 373	0,72 %	48,33 %	1,11	1 м 21 c
test	801	0,39 %	699	0,37 %	50,94 %	1,19	1 м 21 c
yandex_maps	406	0,20 %	347	0,18 %	17,24 %	1,74	3 м 40 c
promopages	205	0,10 %	186	0,10 %	31,71 %	1,05	2 м 10 c
2gis_maps	144	0,07 %	92	0,05 %	31,94 %	3,00	10 м 58 c
newsletter	142	0,07 %	114	0,06 %	28,87 %	2,49	5 м 30 c
yandex_mapss	120	0,06 %	106	0,06 %	10,00 %	2,15	4 м 42 c
ya	94	0,05 %	82	0,04 %	30,85 %	1,54	3 м 13 c
mobidriven	19	0,0092 %	18	0,0094 %	68,42 %	1,11	37 c
chatgpt.com	17	0,0082 %	14	0,0073 %	11,76 %	1,59	4 м 50 c
telegram	16	0,0078 %	13	0,0068 %	6,25 %	2,38	3 м 57 c
cre	11	0,0053 %	10	0,0052 %	18,18 %	2,82	4 м 6 c
qbid	6	0,0029 %	6	0,0031 %	33,33 %	1,17	1 м 6 c
polygraphy	4	0,0019 %	4	0,0021 %	25,00 %	1,00	50 c
hyper	2	0,0010 %	1	0,0005 %	0,00 %	1,00	2 м 27 c
redlama	2	0,0010 %	2	0,0010 %	0,00 %	1,00	15 м 21 c
solta	2	0,0010 %	2	0,0010 %	0,00 %	2,00	4 м 42 c
ya_maps	2	0,0010 %	2	0,0010 %	0,00 %	2,00	1 м 41 c
yandex.promopages	2	0,0010 %	2	0,0010 %	0,00 %	3,00	6 м 12 c
yandex_dostavka	2	0,0010 %	2	0,0010 %	0,00 %	2,00	1 м 2 c
aeroflot_premium	1	0,0005 %	1	0,0005 %	0,00 %	1,00	17 м 30 c
avito	1	0,0005 %	1	0,0005 %	0,00 %	1,00	16 c
perplexity	1	0,0005 %	1	0,0005 %	100,00 %	1,00	10 c
restate	1	0,0005 %	1	0,0005 %	0,00 %	2,00	29 c
roden	1	0,0005 %	1	0,0005 %	0,00 %	1,00	15 c
smartlab	1	0,0005 %	1	0,0005 %	0,00 %	1,00	3 м 10 c
yandexmarket	1	0,0005 %	1	0,0005 %	0,00 %	1,00	22 c
