Итого и средние	1 238 761	100,00 %	946 973	100,00 %	33,11 %	1,70	2 м 41 c
yandex	379 726	30,65 %	254 027	26,83 %	32,88 %	1,39	2 м 41 c
mts	246 662	19,91 %	228 609	24,14 %	30,15 %	1,22	1 м 46 c
Не определено	220 975	17,84 %	149 436	15,78 %	26,99 %	3,03	4 м 57 c
adspector	64 511	5,21 %	64 130	6,77 %	20,22 %	1,34	1 м 46 c
buzzoola	35 534	2,87 %	35 088	3,71 %	30,00 %	2,02	1 м 35 c
yandex.promopages	25 225	2,04 %	22 086	2,33 %	42,28 %	1,26	1 м 35 c
astralab	23 946	1,93 %	23 184	2,45 %	30,61 %	1,27	1 м 41 c
rpl-sportbox	19 680	1,59 %	16 144	1,70 %	79,74 %	1,03	27 c
move	18 788	1,52 %	3 092	0,33 %	70,09 %	1,02	1 м 45 c
da	14 531	1,17 %	13 591	1,44 %	47,23 %	1,18	1 м 7 c
promopages	14 288	1,15 %	12 930	1,37 %	45,07 %	1,26	1 м 30 c
rutube	13 774	1,11 %	12 785	1,35 %	64,91 %	1,05	1 м 12 c
wildberries	12 852	1,04 %	10 775	1,14 %	43,26 %	1,29	1 м 40 c
yandexgo	12 197	0,98 %	9 821	1,04 %	45,98 %	1,16	1 м 50 c
cian	9 805	0,79 %	8 480	0,90 %	39,36 %	1,73	2 м 11 c
yandex_maps	9 511	0,77 %	6 293	0,66 %	11,53 %	3,92	6 м 10 c
avito-ads	9 068	0,73 %	8 265	0,87 %	34,27 %	1,33	1 м 26 c
newsletter	8 348	0,67 %	4 191	0,44 %	13,15 %	2,89	5 м 43 c
realty	8 272	0,67 %	6 286	0,66 %	34,90 %	1,11	2 м 10 c
inlab	8 269	0,67 %	8 259	0,87 %	26,36 %	1,30	55 c
tbank	8 074	0,65 %	6 990	0,74 %	50,92 %	1,31	1 м 42 c
yandex_apartments	7 849	0,63 %	4 808	0,51 %	9,87 %	4,72	7 м 9 c
novostroy_m	7 407	0,60 %	6 095	0,64 %	33,52 %	1,31	2 м 4 c
adheads	7 385	0,60 %	6 970	0,74 %	32,40 %	1,46	1 м 15 c
yandexmarket	6 656	0,54 %	5 373	0,57 %	46,71 %	1,65	2 м 9 c
roxot	6 549	0,53 %	6 262	0,66 %	42,24 %	1,48	1 м
streamingads	6 287	0,51 %	5 134	0,54 %	56,13 %	1,03	1 м 13 c
ozon	5 894	0,48 %	5 130	0,54 %	43,16 %	1,42	2 м 9 c
rpl-matchtv	5 165	0,42 %	4 818	0,51 %	70,71 %	1,02	43 c
sms_newsletter	3 171	0,26 %	2 671	0,28 %	13,78 %	2,78	4 м 20 c
test	2 895	0,23 %	2 895	0,31 %	99,90 %	1,00	1 c
ya	2 691	0,22 %	1 745	0,18 %	24,45 %	2,81	4 м 32 c
trigger	2 611	0,21 %	1 456	0,15 %	20,11 %	2,53	4 м 29 c
dzen	2 179	0,18 %	2 008	0,21 %	48,60 %	1,42	1 м 31 c
yandex-pogoda	1 450	0,12 %	1 296	0,14 %	53,79 %	1,07	1 м 47 c
novostroy_spb	1 159	0,09 %	851	0,09 %	8,63 %	1,22	3 м 56 c
pyaterochka	1 086	0,09 %	984	0,10 %	37,48 %	1,59	1 м 40 c
telegram	1 083	0,09 %	718	0,08 %	18,74 %	2,58	3 м 41 c
googlemybusiness	412	0,03 %	304	0,03 %	16,99 %	4,04	6 м 19 c
chatgpt.com	381	0,03 %	320	0,03 %	12,34 %	3,24	6 м 29 c
2gis_maps	377	0,03 %	238	0,03 %	14,06 %	4,30	7 м 1 c
ya_apartments	282	0,02 %	152	0,02 %	2,48 %	3,93	7 м 24 c
corp	224	0,02 %	167	0,02 %	4,91 %	5,56	7 м 40 c
pikabu	168	0,01 %	167	0,02 %	99,40 %	1,01	< 1 с
max	136	0,01 %	48	0,0051 %	11,03 %	5,28	8 м 2 c
ya_maps	131	0,01 %	70	0,0074 %	10,69 %	4,11	6 м 31 c
polygraphy	125	0,01 %	59	0,0062 %	19,20 %	3,01	8 м 1 c
plazkart	84	0,0068 %	27	0,0029 %	22,62 %	1,02	2 м 24 c
poligraphy	45	0,0036 %	37	0,0039 %	20,00 %	4,20	6 м 57 c
redlama	42	0,0034 %	8	0,0008 %	35,71 %	1,00	3 м 15 c
pr_media	40	0,0032 %	12	0,0013 %	35,00 %	2,30	3 м 45 c
sms_trigger	37	0,0030 %	33	0,0035 %	37,84 %	2,16	3 м 28 c
byyd	36	0,0029 %	23	0,0024 %	27,78 %	1,00	1 м 34 c
cian_kartochka_zhk	35	0,0028 %	31	0,0033 %	20,00 %	2,14	2 м 16 c
youtube	35	0,0028 %	30	0,0032 %	71,43 %	1,54	1 м 17 c
pr_telegram	33	0,0027 %	26	0,0027 %	12,12 %	2,64	3 м 49 c
vk	32	0,0026 %	20	0,0021 %	18,75 %	2,31	3 м 2 c
mskguru	31	0,0025 %	16	0,0017 %	19,35 %	2,06	4 м 47 c
novostroy-gid	31	0,0025 %	9	0,0010 %	9,68 %	1,23	14 м 35 c
cbyvtebcul	29	0,0023 %	29	0,0031 %	3,45 %	1,00	37 c
vkontakte	29	0,0023 %	5	0,0005 %	3,45 %	8,14	9 м 58 c
yandexsmartcamera	29	0,0023 %	26	0,0027 %	13,79 %	3,34	6 м 20 c
stroyka	28	0,0023 %	20	0,0021 %	32,14 %	1,61	3 м
qbid	21	0,0017 %	21	0,0022 %	19,05 %	1,05	50 c
vkvideo	21	0,0017 %	11	0,0012 %	23,81 %	1,05	2 м 48 c
yandex_appartments	21	0,0017 %	20	0,0021 %	0,00 %	5,24	5 м 32 c
